,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
79,91.2,0.4606,0.8076000000000001,0.244,22.4,42.4,106.0,0.48,0.7691999999999999,0.4212,28.4,37.0,1
80,95.4,0.42100000000000004,0.7674000000000001,0.4126,17.8,45.0,86.4,0.4102,0.7809999999999999,0.379,23.4,39.8,1
81,73.0,0.3702,0.773,0.2888,17.4,44.2,89.8,0.3902000000000001,0.7116,0.3496,17.0,45.8,1
82,107.75,0.461,0.66675,0.36175,22.25,42.75,87.6,0.4200000000000001,0.6658000000000001,0.3448,21.0,44.4,0
83,95.6,0.4506,0.7146000000000001,0.31880000000000003,21.4,37.4,86.2,0.4184,0.7254000000000002,0.2738,20.6,40.2,0
84,86.2,0.4062,0.7092,0.2994,22.6,37.6,103.6,0.4476,0.6674,0.2906,25.0,48.8,1
85,86.8,0.4218,0.7445999999999999,0.4144,19.8,38.4,88.0,0.3884,0.7196,0.3452,17.2,46.0,0
86,91.4,0.4472,0.6890000000000001,0.3126,20.8,45.4,90.4,0.4086,0.7869999999999999,0.354,17.0,41.2,0
87,92.2,0.4512000000000001,0.6904,0.2808,24.4,46.4,88.0,0.4314,0.8556000000000001,0.268,21.8,43.4,1
88,88.2,0.377,0.7445999999999999,0.331,17.4,46.2,94.2,0.4334000000000001,0.8181999999999998,0.3246,20.2,44.2,1
89,101.2,0.45,0.7356,0.4400000000000001,28.2,37.2,97.6,0.4302,0.7706000000000001,0.406,19.8,45.2,1
90,90.4,0.4424,0.7256,0.4012000000000001,22.8,42.6,72.8,0.3826000000000001,0.7668,0.3324,19.0,43.4,1
91,94.4,0.4306,0.7862,0.326,22.6,44.0,100.6,0.4744,0.7152000000000001,0.4104,25.0,38.4,1
92,90.6,0.4704,0.7236,0.4426,19.0,44.4,80.2,0.3774,0.7646,0.3598,14.0,41.8,1
93,89.6,0.4272,0.7554000000000001,0.2794,20.8,43.8,92.6,0.4504,0.7112,0.3688,21.0,35.2,0
94,94.0,0.4658000000000001,0.7809999999999999,0.4456,22.6,41.8,102.4,0.4446,0.6808,0.30060000000000003,20.2,43.4,0
95,87.4,0.4326,0.7253999999999999,0.2952,21.4,44.2,89.8,0.446,0.8114000000000001,0.2348,20.2,44.8,0
96,97.75,0.41075,0.75775,0.3825,20.25,49.5,87.0,0.4358000000000001,0.6808000000000001,0.3348,19.8,43.0,1
97,79.2,0.3736,0.736,0.3014,14.2,42.4,93.8,0.45399999999999996,0.7528,0.342,25.2,46.0,1
98,86.8,0.4342,0.7704,0.281,20.8,43.8,92.6,0.467,0.7445999999999999,0.419,22.6,37.8,0
99,102.0,0.4442,0.6624000000000001,0.34219999999999995,24.2,47.0,72.4,0.3882,0.7310000000000001,0.3372,19.0,39.4,1
100,93.8,0.434,0.7806,0.34500000000000003,18.6,41.6,87.8,0.4508000000000001,0.7358,0.3376,20.2,41.8,0
101,100.0,0.4328,0.7290000000000001,0.3618,23.0,47.8,100.6,0.4524,0.7086,0.29660000000000003,20.0,43.2,0
102,86.4,0.4054,0.8059999999999998,0.3968,22.6,38.6,88.4,0.3798,0.7232000000000001,0.331,17.4,46.0,0
103,100.6,0.4748,0.7379999999999999,0.3804,24.2,38.0,89.4,0.4270000000000001,0.8218,0.3246000000000001,18.8,45.2,1
104,82.0,0.3786,0.713,0.361,17.2,37.0,91.4,0.4204000000000001,0.7430000000000001,0.3282,23.0,38.0,0
105,93.2,0.4590000000000001,0.7074,0.3234,21.2,43.4,97.2,0.4226,0.7647999999999999,0.3918,18.6,46.6,1
106,86.2,0.4348000000000001,0.7071999999999999,0.407,21.6,44.0,100.6,0.4434,0.7150000000000001,0.3926,28.8,39.8,1
107,97.2,0.5,0.7378,0.4332,22.4,38.8,96.8,0.4614,0.7602,0.4656000000000001,23.2,41.6,0
108,94.0,0.4434,0.7784000000000001,0.3426,25.0,43.2,88.2,0.4628,0.7535999999999999,0.4118000000000001,19.0,42.8,1
109,103.4,0.4424,0.6504,0.3266,23.0,47.2,95.0,0.4196,0.7626,0.35600000000000004,20.4,45.4,1
110,82.0,0.4254000000000001,0.7696000000000001,0.32899999999999996,21.4,42.2,99.6,0.4696,0.7130000000000001,0.368,20.6,42.4,1
111,80.6,0.3932,0.7352000000000001,0.3562,15.6,41.8,94.8,0.4306000000000001,0.7363999999999999,0.3244,21.4,46.4,1
112,91.2,0.4704,0.8036,0.4548,20.8,42.8,93.6,0.4372,0.7824,0.34940000000000004,18.2,41.2,1
113,85.2,0.4186,0.7354,0.2786,21.2,44.2,93.4,0.4484,0.7132000000000001,0.3556,24.8,47.0,1
114,97.6,0.463,0.7348,0.4332,23.8,43.8,88.6,0.4378,0.8336,0.2746,20.6,41.6,0
115,105.0,0.4676,0.7600000000000001,0.4308000000000001,30.2,39.2,77.0,0.4028,0.7332000000000001,0.3288,20.0,39.2,1
116,87.2,0.3666,0.7164,0.35760000000000003,16.6,45.8,84.4,0.391,0.6940000000000001,0.3276,18.0,39.8,1
117,81.0,0.3924,0.7594,0.33320000000000005,22.4,38.8,89.2,0.4304,0.8513999999999999,0.3402,22.0,42.8,1
118,97.0,0.4468,0.7736000000000001,0.3636,21.0,38.4,89.4,0.3854,0.7476,0.3176,16.4,46.4,1
119,89.8,0.4296,0.6868000000000001,0.2464,22.4,44.8,101.2,0.4214000000000001,0.7790000000000001,0.3984,20.4,48.6,0
120,105.6,0.4466,0.8144,0.379,21.0,46.6,91.0,0.4306,0.6644,0.3976,19.6,39.4,1
121,98.0,0.4362,0.7322000000000001,0.3388,21.0,45.4,92.6,0.392,0.7708,0.3274,19.2,47.0,0
122,90.2,0.4248,0.845,0.3942,21.0,41.6,88.0,0.4348,0.7748000000000002,0.429,22.2,42.8,0
